date,event,violent_or_natural,cause,deaths_per_day,over_average_estimated_deaths_that_day,daily_average_deaths,estimated_total_deaths_annually,estimated_mortality_rate_for_year,estimated_total_population,source_links
6/7/2020,COVID-19 Pandemic,nonviolent,Pandemic,474,-8518.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
8/30/2020,COVID-19 Pandemic,nonviolent,Pandemic,473,-8519.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
7/20/2020,COVID-19 Pandemic,nonviolent,Pandemic,473,-8519.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
8/2/2020,COVID-19 Pandemic,nonviolent,Pandemic,469,-8523.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
9/6/2020,COVID-19 Pandemic,nonviolent,Pandemic,462,-8530.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
9/8/2020,COVID-19 Pandemic,nonviolent,Pandemic,459,-8533.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
3/30/2020,COVID-19 Pandemic,nonviolent,Pandemic,454,-8538.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
3/28/2020,COVID-19 Pandemic,nonviolent,Pandemic,444,-8548.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
9/21/2020,COVID-19 Pandemic,nonviolent,Pandemic,438,-8554.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
8/31/2020,COVID-19 Pandemic,nonviolent,Pandemic,428,-8564.863644,8992.863644,3282395.23,0.01,"328,239,523","https://github.com/nytimes/covid-19-data/blob/master/excess-deaths/deaths.csv, https://covid.cdc.gov/covid-data-tracker/#trends_dailytrendsdeaths"
